Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainTomorrow
9/2/2009,Williamtown,18.8,26.3,0,10,9.7,SSW,50,S,S,19,37,84,72,1010.8,1010.1,6,3,22.6,24.1,No
22/08/11,Darwin,16.3,31.8,0,8.6,11.3,E,50,SE,E,20,28,30,11,1017.8,1013.4,3,2,23.2,31.2,No
21/08/13,Moree,-1.1,15.9,0,5,10.9,SSW,39,SSW,SW,13,20,53,23,1020.3,1016.4,1,1,7.9,15.3,No
29/10/10,Mildura,14.7,32.8,0,7.2,7.3,W,61,NNE,N,22,26,34,16,1010.2,1006,6,7,23.2,30.8,Yes
8/6/2014,Cairns,18.4,20.3,15.8,3.8,0,SSW,35,S,SE,13,11,90,94,1016.8,1014.5,8,8,19.5,20.1,Yes
2/10/2014,Townsville,15.8,27.7,0,8.4,11.5,NE,31,ENE,NE,13,20,56,47,1017.5,1015.1,1,1,24.8,26.2,No
1/3/2011,MountGambier,11.6,17.9,1,3.6,10.7,SW,52,SSW,SSW,30,30,65,35,1014.5,1017.7,5,3,14.8,17.1,No
26/01/10,MelbourneAirport,11.3,25.6,0,7,9.9,S,43,SSW,SSE,11,26,61,50,1011.7,1012.5,7,1,16.5,23.7,No
14/04/12,Nuriootpa,7.9,27.3,0,4.4,10.1,WNW,43,NE,WNW,6,22,34,17,1023.1,1019.6,1,3,20.8,26.6,No
27/03/11,Moree,15,29.2,0,13.4,7.3,E,33,E,ESE,13,11,60,33,1020.2,1017.5,6,6,20.2,27.6,No
18/06/14,Watsonia,9.3,13.6,0.6,1,0.1,W,13,ENE,SSW,6,4,97,61,1031.9,1029.6,7,7,10.6,13.1,No
19/02/10,Sale,12.9,30.1,0,5.8,11,ESE,35,WSW,E,6,19,98,43,1022.1,1018.6,2,1,16.7,28.8,No
13/12/10,Portland,10.9,18.8,0.8,3.6,6.3,W,44,NW,W,17,30,88,72,1014.6,1014.7,7,6,14.1,17.8,No
15/08/09,Williamtown,5.6,21.2,0,3.6,10.6,W,39,WNW,WSW,19,13,59,36,1019.9,1016.3,0,0,13.1,20.6,No
10/7/2010,Canberra,2.4,12.2,0.4,2,0.2,N,15,W,NNE,2,6,95,67,1029.2,1024.5,7,7,5.7,12,No
23/02/16,NorfolkIsland,20.6,25.6,4.6,5,11.4,ESE,48,ESE,ESE,24,22,68,69,1015.3,1012.6,3,3,23.5,24.6,No
13/06/15,Darwin,21.2,32,0,5.4,9.8,E,43,SE,NW,15,17,65,63,1013.3,1009.5,1,5,26.4,28.9,No
21/06/09,Portland,4.8,15.8,0.2,2.6,8.2,N,22,N,NE,11,13,93,60,1018.2,1016.1,2,2,6.7,15.5,No
22/07/13,Nuriootpa,5.8,10.8,6,2.4,1.8,SW,46,W,SW,26,24,97,89,1018.2,1020.4,8,8,7.6,8.8,Yes
28/05/16,Melbourne,5.7,13.2,0.6,1,4.1,SSW,31,NE,SSW,2,17,89,65,1011,1012.4,7,4,8.7,13.2,Yes
23/03/09,Woomera,13.4,30.7,0,14.6,10.8,SSE,35,SE,SE,26,9,48,16,1015.1,1012.2,1,1,16.6,28.6,No
1/1/2009,Brisbane,22.2,33.9,0,9,6.9,W,44,SE,NNE,4,13,60,65,1007.4,1005.1,5,7,29.7,30.9,No
15/12/11,Darwin,23.9,33.7,11.4,3.8,10.1,NW,30,ESE,WNW,17,15,79,63,1006.6,1003.5,7,6,29.2,32.8,No
25/04/13,MountGambier,8.1,19.6,11.2,1,3.7,WNW,54,NNW,NW,15,33,88,59,1020.5,1019.6,7,7,13.7,18.7,No
3/3/2012,CoffsHarbour,19,22.8,20.8,4.8,0.9,SE,39,SW,W,13,9,96,92,1019,1017,8,8,19.3,21,Yes
12/3/2014,Brisbane,19.5,29.3,0.8,7,10.4,E,30,SSE,ENE,7,15,63,51,1018.5,1015.2,3,2,24.6,27.5,No
19/02/10,Brisbane,20.4,29.1,0,5.8,7.9,SE,35,SSE,ESE,11,17,60,54,1019.6,1017.7,6,6,26.3,27.4,No
5/5/2009,AliceSprings,4.9,22.8,0,6.8,10.7,ESE,43,ESE,E,11,11,38,22,1026.1,1022.1,1,1,14,21.9,No
3/11/2008,Canberra,13.2,23.5,16,6.2,10.1,W,61,WNW,W,15,31,68,33,1010.4,1008.3,7,5,18.3,22.9,No
16/11/10,Moree,17.9,27.6,24.4,3.8,3.5,WSW,37,SSW,WNW,9,11,89,53,1013.3,1009.2,7,6,20,26.8,No
19/09/15,AliceSprings,5,26.7,0,7.6,11.5,SSW,35,E,S,20,17,22,15,1021.5,1016.5,0,0,18,25.4,No
10/5/2010,Portland,10.4,20.7,0.4,2,7.5,NNW,52,N,NNW,22,26,74,59,1011.6,1006.5,2,7,14.5,19.6,Yes
23/11/08,Perth,14.8,22.2,17.4,3.4,8.6,SW,43,WSW,W,11,19,79,72,1002.1,1001.3,5,7,17.9,20,Yes
23/11/09,Melbourne,11.3,22,16,5.6,10.9,SSW,37,SW,S,13,24,51,38,1024.1,1024.1,4,5,15.1,20.5,No
4/5/2010,Perth,7.9,21.8,0,3.6,9.8,SSE,28,E,SE,15,11,53,33,1027.5,1023.3,0,0,14.3,21.4,No
17/02/12,Darwin,26.2,34.4,0,4.4,9,NW,33,E,WNW,11,20,69,65,1009.5,1006,3,6,30.4,32,No
9/9/2009,NorfolkIsland,16.5,19.1,0,8,2.8,NE,61,NE,NE,39,35,80,82,1023.2,1020.9,6,6,18,18.5,Yes
20/03/12,Perth,14.4,27.5,0,8.6,11.1,SE,35,SSE,SSE,15,13,55,34,1018.5,1014.1,1,1,18.8,26.6,No
26/01/16,Darwin,25.9,33.3,21.8,7.4,8.1,WNW,37,S,WNW,6,24,81,64,1010.9,1007.9,6,7,29.5,32.6,No
1/3/2010,Cobar,19.4,27.4,0,4.4,1.1,E,48,SSE,ESE,15,9,51,48,1013.4,1010.6,8,8,19.5,25.9,No
3/1/2009,MelbourneAirport,6.3,21.1,0,6.2,10.5,SSE,31,E,S,13,19,51,35,1020.8,1017.6,1,7,13.4,19.6,No
14/11/10,Portland,11,16.1,6.2,0.2,7.7,WSW,37,SSW,WSW,17,26,100,71,1016.4,1017.3,8,6,12,15,No
5/9/2013,AliceSprings,9.9,33.3,0,19,11.3,NNE,33,NE,ENE,19,15,18,5,1022.5,1018.5,1,1,25.4,32.1,No
12/8/2009,Hobart,8.3,11,1.6,0.8,0,SE,35,S,SSE,20,20,88,92,1020.1,1016.6,8,8,8.7,9.9,Yes
11/4/2009,CoffsHarbour,16.1,24.8,0,3.2,3.1,N,31,W,NE,9,13,73,71,1025.7,1023.5,7,8,22.8,23.1,Yes
4/4/2010,CoffsHarbour,17.2,24.6,1.2,7.2,7.7,S,48,SW,SSE,28,30,64,57,1020.2,1016.9,7,3,20.6,23.7,No
29/07/15,Woomera,5,15.4,0,4,4.6,NNE,54,NNE,N,20,24,53,29,1032.2,1027.3,6,2,7.9,14.5,No
21/10/09,SydneyAirport,15.6,35.6,0,7.6,11.6,S,56,NW,NE,20,19,33,10,1019.6,1015.9,2,5,22.3,35.5,No
14/07/13,Darwin,20.5,32.3,0,5.4,11.2,ESE,50,E,E,31,28,60,37,1014,1010.2,1,2,24.6,31.6,No
11/10/2013,MountGambier,7,17.9,0,2.8,7.6,NW,50,W,WNW,26,33,66,54,1016.4,1015.7,4,5,13.8,15.9,No
24/10/09,Cairns,21,30.3,0,7.4,7.3,ESE,44,ESE,ESE,28,33,68,53,1016.6,1013.5,6,7,24.7,27.2,No
22/07/10,Woomera,5.8,15.8,0,2.6,9.7,E,28,ESE,SSE,11,9,75,38,1034.3,1031.8,0,5,8.6,14.3,No
29/10/09,Williamtown,15.5,24,0,6,7.4,SE,37,E,SE,13,28,75,55,1025.1,1022.6,7,4,20.6,22.9,No
8/11/2013,Sydney,17.9,28.1,0,9.4,8.3,W,63,W,NNE,4,28,43,44,1011,1006.4,3,6,24.5,27.6,No
20/01/11,Canberra,13.1,28.2,0,5.4,7.5,ENE,35,E,NNW,11,9,74,43,1013.6,1011.6,8,4,18.9,26.5,No
18/04/12,Nuriootpa,10.2,30.2,0,4,10,N,26,NNE,NE,7,7,31,18,1019.7,1015.5,2,6,23,28.8,No
25/03/10,Brisbane,18.4,28.8,0,5.6,10.3,SE,28,SSW,E,6,17,62,54,1022.9,1019.8,1,3,24.9,27.4,Yes
3/8/2013,WaggaWagga,4,10.8,1,2.4,2.8,W,26,W,N,13,9,93,66,1019.2,1015.8,7,7,6.2,10.2,No
21/01/17,MelbourneAirport,13.3,22.2,0,4.4,10.6,SSE,33,SW,SSE,22,19,65,49,1014.9,1015.2,7,4,15.4,21.7,No
3/1/2015,Watsonia,19.1,39.5,0,23.8,8.6,N,61,NNE,NNE,22,30,31,18,1012.5,1007.3,6,7,31.4,38.4,Yes
